Someone You Loved,"{'Bored': 0.0285883452, 'Sad': 0.1053613519, 'Happy': 0.4864145858, 'Angry': 0.0751918675, 'Excited': 0.2529361119, 'Fear': 0.0515077377}"
Circles,"{'Bored': 0.0048035042, 'Sad': 0.0327520275, 'Happy': 0.6638086961, 'Angry': 0.0284173905, 'Excited': 0.2400257677, 'Fear': 0.0301926141}"
Senorita,"{'Bored': 0.0, 'Sad': 0.1392074846, 'Happy': 0.5025319315, 'Angry': 0.0539124412, 'Excited': 0.186987959, 'Fear': 0.1173601836}"
Truth Hurts,"{'Bored': 0.0, 'Sad': 0.1046250815, 'Happy': 0.2921358071, 'Angry': 0.1438390562, 'Excited': 0.2906671374, 'Fear': 0.1687329178}"
Lose You To Love Me,"{'Bored': 0.0, 'Sad': 0.1751631851, 'Happy': 0.4618548211, 'Angry': 0.0795685132, 'Excited': 0.2287134544, 'Fear': 0.0547000263}"
Good As Hell,"{'Bored': 0.0123720977, 'Sad': 0.0131742107, 'Happy': 0.5577816928, 'Angry': 0.0419799971, 'Excited': 0.3238064361, 'Fear': 0.0508855655}"
No Guidance,"{'Bored': 0.0, 'Sad': 0.0435038905, 'Happy': 0.2783802896, 'Angry': 0.0978539472, 'Excited': 0.4861461908, 'Fear': 0.094115682}"
Panini,"{'Bored': 0.020671121, 'Sad': 0.0516079134, 'Happy': 0.2834058051, 'Angry': 0.1102103267, 'Excited': 0.4145948716, 'Fear': 0.1195099622}"
Memories,"{'Bored': 0.008152824, 'Sad': 0.0462774502, 'Happy': 0.757481725, 'Angry': 0.0421082652, 'Excited': 0.1222492433, 'Fear': 0.0237304923}"
"10,000 Hours","{'Bored': 0.0187608244, 'Sad': 0.0366398493, 'Happy': 0.5954895607, 'Angry': 0.0534653537, 'Excited': 0.228261183, 'Fear': 0.0673832289}"
Hot,"{'Bored': 0.0, 'Sad': 0.0537305024, 'Happy': 0.3847223844, 'Angry': 0.1069598229, 'Excited': 0.3218912221, 'Fear': 0.1326960683}"
Bad Guy,"{'Bored': 0.1240384659, 'Sad': 0.0549808043, 'Happy': 0.5155263289, 'Angry': 0.092725725, 'Excited': 0.094947933, 'Fear': 0.1177807429}"
Ran$om,"{'Bored': 0.0348074041, 'Sad': 0.0612754772, 'Happy': 0.4007751393, 'Angry': 0.1973663381, 'Excited': 0.2256669033, 'Fear': 0.0801087379}"
HIGHEST IN THE ROOM,"{'Bored': 0.0402415771, 'Sad': 0.0240899752, 'Happy': 0.5460381688, 'Angry': 0.0467251339, 'Excited': 0.2603849207, 'Fear': 0.0825202243}"
Beautiful People,"{'Bored': 0.0, 'Sad': 0.0554941842, 'Happy': 0.5955243137, 'Angry': 0.0807484828, 'Excited': 0.1869433308, 'Fear': 0.0812896885}"
Trampoline,"{'Bored': 0.0117499879, 'Sad': 0.0208599054, 'Happy': 0.6789047935, 'Angry': 0.0496600924, 'Excited': 0.1948277315, 'Fear': 0.0439974892}"
