Someone You Loved,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Circles,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Senorita,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Truth Hurts,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Lose You To Love Me,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Good As Hell,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
No Guidance,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Panini,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Memories,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
"10,000 Hours","{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Hot,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Bad Guy,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Ran$om,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
